,Name
875,ritik
876,nazim
877,ekata
878,laksh
879,kurban
880,sanjey
881,vidha
882,vinos
883,kashmir
884,sugai
885,pervinder
886,randeep
887,swaliya
888,kashum
889,shakuntla
890,shobha
891,aftab
892,satynarayan
893,tosif
894,rajbeer
895,dharvesh
896,bhavuk
897,parashu
898,shanaz
899,mustafa
900,farzana
901,selars
902,sugodh
903,jewa
904,tapan
905,mrs
906,satnarayan
907,shobharam
908,nareshpal
909,banita
910,prsant
911,penzin
912,somesh
913,mujefir
914,hukam
915,chunaram
916,sourab
917,sarjeet
918,amarjit
919,ashik
920,aijay
921,suchi
922,subhakar
923,sahbuddin
924,husina
925,shishpal
926,akkni
927,ombir
928,bhikhari
929,goldy
930,ranjna
931,banwarilal
932,aanand
933,jaanu
934,inderpal
935,dakch
936,prezi
937,bangali
938,ramu
939,biitu
940,sntosh
941,jayantadass
942,kanishakraj
943,suhana
944,sugandha
945,kimat
946,sukshana
947,mnoj
948,harkesh
949,asha
950,sandha
951,pram
952,shaloo
953,chatter
954,janeshwar
955,shreeniwas
956,bannu
957,sampat
958,ramdhin
959,dharmvir
960,panchuri
961,omendra
